Dst-Nr.;KZ;Dst-Bezeichnung-offiziell;Dst-Bezeichnung lang;Dst-Abk;GO-Nr;GO-Abk;Ort;Gde-Nr;Gde-Name;Kanton;Betriebspunkt;Haltestelle;Bedienpunkt;Reiner Betriebspunkt;Tarifhaltestelle;KOORDE;KOORDN;KOORDZ;BPUIC
87917;1;Pougny, gare;;;881;TPG;;;;;*;*;;;;485792.76;111317.85;410;8587917
87477;6;Chancy, douane;;;881;TPG;Chancy;6611;Chancy;GE;*;*;;;;486197.77;111389.87;341;8587477
95997;3;Valleiry, gare;;;881;TPG;;;;;*;*;;;;486284.85;107491.51;480;8595997
94962;8;Valleiry, Chef-Lieu;;;881;TPG;;;;;*;*;;;;486350.87;107261.47;485;8594962
94954;5;Challex, école;;;881;TPG;;;;;*;*;;;;486489.77;115239.83;496;8594954
87040;2;Chancy, village;;;881;TPG;Chancy;6611;Chancy;GE;*;*;;;;486530.77;112027.87;357;8587040
94963;6;Valleiry, Espace FOL;;;881;TPG;;;;;*;*;;;;486594.85;107459.52;480;8594963
92689;9;Chancy, Raclerets;;;881;TPG;Chancy;6611;Chancy;GE;*;*;;;;486730.78;111961.88;359;8592689
94953;7;Challex, La Halle (F);;;881;TPG;;;;;*;*;;;;486821.77;115566.83;511;8594953
92688;1;Chancy, Les Bouveries;;;881;TPG;Chancy;6611;Chancy;GE;*;*;;;;486957.78;112157.88;362;8592688
94951;1;Challex, Poizat;;;881;TPG;;;;;*;*;;;;486970.77;115466.83;488;8594951
94952;9;Challex, église (F);;;881;TPG;;;;;*;*;;;;487092.76;115703.83;505;8594952
94955;2;Challex, Corbière;;;881;TPG;;;;;*;*;;;;487098.77;115252.84;456;8594955
92690;7;Chancy, usine;;;881;TPG;Chancy;6611;Chancy;GE;*;*;;;;487422.78;112731.88;375;8592690
93236;8;Thoiry, gare;;;881;TPG;;;;;*;*;;;;487439.76;121100.73;496;8593236
87922;1;Thoiry, mairie;;;881;TPG;;;;;*;*;;;;487505.76;121569.71;483;8587922
3419;9;Dardagny, Le Roulave;;;881;TPG;Dardagny;6620;Dardagny;GE;*;*;;;;487518.73;117704.8;449;8503419
94950;3;Challex, Fontanettes;;;881;TPG;;;;;*;*;;;;487550.76;115442.84;425;8594950
